count,mean,ci_lower,ci_upper,ci_width,year,half_year,country_list
10,0.0,0.0,0.8512881123001069,0.8512881123001069,2021,H1,AO
134,0.0028320110184704,7.537637264278865e-09,0.9990663666528192,0.999066359115182,2021,H1,AM
46,0.0367771720709437,0.0051632837802002,0.2192899428951107,0.2141266591149105,2021,H1,AF
104,0.0374843549006762,0.0085306197163254,0.149856460435014,0.1413258407186886,2021,H1,AL
27,0.0,0.0,0.5233812293863699,0.5233812293863699,2021,H1,BB
97,0.0,0.0,0.1550802373449596,0.1550802373449596,2021,H1,AZ
155,0.0722087663651251,0.0267392739844679,0.1806467285048845,0.1539074545204165,2021,H1,BA
12,0.0,0.0,0.3442607980088021,0.3442607980088021,2021,H1,BM
118,0.0,0.0,0.1205347456774895,0.1205347456774895,2021,H1,BF
36,0.0,0.0,0.4616495690856292,0.4616495690856292,2021,H1,BI
82,0.0,0.0,0.0952004630340464,0.0952004630340464,2021,H1,BN
78,0.0,0.0,0.1751124993024844,0.1751124993024844,2021,H1,BO
135,0.0,0.0,0.0495445687430366,0.0495445687430366,2021,H1,BJ
107,0.1087045396608315,0.0476473623558437,0.2291747762086559,0.1815274138528123,2021,H1,BH
23,0.0,0.0,0.1362615553447652,0.1362615553447652,2021,H1,BT
23,0.0357174878727848,9.763234995725851e-05,0.9335606388505626,0.9334630065006052,2021,H1,BS
91,0.0,0.0,0.1163237683247405,0.1163237683247405,2021,H1,BW
199,0.0466243096894985,0.0164325516607237,0.1252252888709855,0.1087927372102617,2021,H1,BY
124,0.051591188778761,0.0160216536192844,0.1537864549254965,0.1377648013062121,2021,H1,CD
70,0.0341171703613287,0.0050115324633871,0.1985321045098518,0.1935205720464647,2021,H1,CG
543,0.0279320086363899,0.0120326084662998,0.0634901324264478,0.0514575239601479,2021,H1,BG
1383,0.0586826534664286,0.0412993082015814,0.0827512836044398,0.0414519754028584,2021,H1,AE
95,0.0795008198457707,0.025821262040344,0.2196167748506409,0.1937955128102969,2021,H1,CI
277,0.0456492194282413,0.0153610025436484,0.1279009910675162,0.1125399885238677,2021,H1,CM
1205,0.0469660054092041,0.0302912949907696,0.0721369532963512,0.0418456583055815,2021,H1,BD
1858,0.0362255686007069,0.0254308729606427,0.0513608324323224,0.0259299594716797,2021,H1,AR
12,0.0123128983543492,4.052654190624919e-10,0.9999973923062204,0.999997391900955,2021,H1,CV
10,0.2593735985424708,0.0348731025606849,0.7724311595914022,0.7375580570307173,2021,H1,CW
192,0.0372856669878734,0.0116477672276991,0.1129084543971356,0.1012606871694365,2021,H1,CR
152,0.0393571054798228,0.009917491409761,0.1435190680340504,0.1336015766242894,2021,H1,CU
653,0.0441428235288011,0.0233085412509445,0.0820355970000694,0.0587270557491248,2021,H1,CY
41,0.0,0.0,0.3497150841823986,0.3497150841823986,2021,H1,DO
460,0.03833955209932,0.0180814611998519,0.0794577432875561,0.0613762820877041,2021,H1,DZ
483,0.0203751631815599,0.0070419847308975,0.0574915073418214,0.0504495226109239,2021,H1,EC
603,0.0639150220749743,0.0396710480445686,0.1014105206823198,0.0617394726377511,2021,H1,EE
20,0.280846459840797,0.0951346339917245,0.591932387763427,0.4967977537717024,2021,H1,FO
75,0.0985326079620405,0.0263256693795493,0.3064560488665447,0.2801303794869955,2021,H1,FJ
52,0.0,0.0,0.343858255764568,0.343858255764568,2021,H1,GA
1499,0.018788648575644,0.0104772385023613,0.0334703384525665,0.0229930999502051,2021,H1,CO
2722,0.023651561627856,0.0164291842425417,0.0339393859375401,0.0175102016949984,2021,H1,CL
1121,0.0460966479071218,0.0302213951769857,0.0697116872409324,0.0394902920639467,2021,H1,ET
29,0.0496160093196218,0.0029324221316065,0.4809803552948262,0.4780479331632197,2021,H1,GD
22,0.0,0.0,0.5587112396298215,0.5587112396298215,2021,H1,GN
42,0.0,0.0,0.2116842838048206,0.2116842838048206,2021,H1,GL
40,0.0619463191879051,0.0110689824407755,0.2803754107437018,0.2693064283029263,2021,H1,GF
41,0.0892570766382233,0.0177451476588005,0.3471158252116401,0.3293706775528395,2021,H1,GP
12,0.0,0.0,0.7765384961054775,0.7765384961054775,2021,H1,GW
13,0.022260413783659,1.1195823382194744e-06,0.9978447411846366,0.9978436216022984,2021,H1,GU
80,0.0404270718112632,0.0094941442369905,0.1562450154710624,0.1467508712340719,2021,H1,GM
