count,mean,ci_lower,ci_upper,ci_width,year,half_year,has_ai_policy,country_list
14,0.0,0.0,0.6664639134059314,0.6664639134059314,2021,H1,False,GA
4250,0.0338702399878355,0.0262439926708582,0.0436133431193571,0.0173693504484989,2021,H1,False,CH
6830,0.0367406988575961,0.030010571760998,0.0449102348224293,0.0148996630614312,2021,H1,False,AU
357,0.0723005602306807,0.0391119971542935,0.1298457555098809,0.0907337583555873,2021,H1,False,AE
19,0.0,0.0,0.7022507289576876,0.7022507289576876,2021,H1,False,AF
1856,0.023334073942568,0.0142070900640969,0.0380978543409104,0.0238907642768134,2021,H1,False,AT
1305,0.0380186499945182,0.0244520205947772,0.0586597982919015,0.0342077776971243,2021,H1,False,CZ
21,0.0414867860517061,0.0024665251569788,0.4310566386581393,0.4285901135011604,2021,H1,False,BH
37,0.0410332010410571,0.0057592120069058,0.2401657314917586,0.2344065194848528,2021,H1,False,CD
8400,0.0432106519099209,0.0369273133636595,0.0505070576450384,0.0135797442813789,2021,H1,False,CA
66,0.0,0.0,0.0663704592022344,0.0663704592022344,2021,H1,False,CR
18,0.0,0.0,0.323332760487429,0.323332760487429,2021,H1,False,CI
31,0.0,0.0,0.4095905065572584,0.4095905065572584,2021,H1,False,AZ
197,0.0808205352545162,0.0409716556959943,0.1532337071341682,0.1122620514381739,2021,H1,False,EE
211,0.0424054648174933,0.0145697894279442,0.1171017990443211,0.1025320096163768,2021,H1,False,BG
41,0.0566126281136256,0.005296550666979,0.4034522937784989,0.3981557431115199,2021,H1,False,AM
1035,0.0135549748997432,0.0059796055651851,0.0304335081222203,0.0244539025570351,2021,H1,False,CL
21,0.0,0.0,0.6540623521979789,0.6540623521979789,2021,H1,False,BI
28,0.0,0.0,0.484424461226678,0.484424461226678,2021,H1,False,BO
13,0.0,0.0,0.758856197762076,0.758856197762076,2021,H1,False,BB
16,0.0,0.0,0.572797167808139,0.572797167808139,2021,H1,False,BW
123,0.0,0.0,0.0619431862689328,0.0619431862689328,2021,H1,False,DZ
249,0.0360681388934559,0.0122188288429413,0.1016761069152951,0.0894572780723537,2021,H1,False,BD
144,0.0321061694004733,0.0063470734515642,0.1469464298153739,0.1405993563638096,2021,H1,False,ET
3024,0.0319781608733717,0.0238383725826271,0.0427755466478692,0.018937174065242,2021,H1,False,BR
51,0.0058694030428535,1.0755097628695993e-08,0.9996915538172432,0.9996915430621456,2021,H1,False,CU
18,0.055069797091683,0.00100903826189,0.7707814184727279,0.7697723802108378,2021,H1,False,BN
179,0.0860526052178848,0.0359594058531081,0.1920280764099465,0.1560686705568383,2021,H1,False,CY
16,0.1102510073186989,0.00127718106289,0.9231163785008968,0.9218391974380066,2021,H1,False,FJ
2652,0.0483266482641227,0.0373575637620178,0.0623080523921559,0.0249504886301381,2021,H1,False,BE
33,0.0408979138372694,0.0057303431364682,0.2398314340096439,0.2341010908731756,2021,H1,False,AL
32,0.0,0.0,0.2588912963810697,0.2588912963810697,2021,H1,False,BJ
14,0.0,0.0,0.5367217898843316,0.5367217898843316,2021,H1,False,CG
40,0.0481927453959747,0.0034135510309398,0.4280711141809414,0.4246575631500016,2021,H1,False,BA
77,0.0548517772051684,0.0090890414397442,0.2685760522831579,0.2594870108434136,2021,H1,False,BY
731,0.020549676722377,0.0096701484685475,0.0431362122854428,0.0334660638168953,2021,H1,False,AR
117,0.0,0.0,0.0792192962113979,0.0792192962113979,2021,H1,False,EC
444,0.0158792195754547,0.0052965960834046,0.0466150899238926,0.041318493840488,2021,H1,False,CO
70,0.0601292967996011,0.0053683156908797,0.4312796893473606,0.4259113736564809,2021,H1,False,CM
31,0.0,0.0,0.4772743820343259,0.4772743820343259,2021,H1,False,BF
10,0.0,0.0,0.8315522530682187,0.8315522530682187,2021,H1,False,GF
60,0.0,0.0,0.1821800404336621,0.1821800404336621,2021,H1,False,GE
24,0.0,0.0,0.6058690097025722,0.6058690097025722,2021,H1,False,GM
20,0.0064395296888722,2.8360902270860652e-19,0.9999999999999932,0.9999999999999932,2021,H1,False,GL
26,0.0,0.0,0.4583384446752963,0.4583384446752963,2021,H1,False,GT
10,0.0,0.0,0.8012810995387797,0.8012810995387797,2021,H1,False,HN
128,0.0847746185145884,0.030232994288905,0.2158145024283243,0.1855815081394193,2021,H1,False,GH
81,0.0,0.0,0.1347757224844937,0.1347757224844937,2021,H1,False,IQ
834,0.057676449417904,0.0362063605908551,0.0906802580988513,0.0544738975079961,2021,H1,False,EG
20,0.0,0.0,0.547953273492889,0.547953273492889,2021,H1,False,JM
27,0.0,0.0,0.4480552406484436,0.4480552406484436,2021,H1,False,KH
139,0.0141435265827079,0.0020112823111593,0.0926635612834086,0.0906522789722492,2021,H1,False,IS
13,0.2269904265381744,0.0334922036380465,0.7133294031979837,0.679837199559937,2021,H1,False,KN
14,0.1837366156325518,0.0161248012830386,0.7555939143850137,0.739469113101975,2021,H1,False,KP
358,0.0699200486294891,0.0363787035048796,0.1302079453820172,0.0938292418771376,2021,H1,False,ID
18,0.080220894783842,0.0110934059236395,0.4040904785782128,0.3929970726545733,2021,H1,False,KG
160,0.0443473488534566,0.0155603189742784,0.1199045291855751,0.1043442102112967,2021,H1,False,JO
13,0.0787205819632187,0.0041198525056054,0.6383228191182257,0.6342029666126203,2021,H1,False,LA
15,0.0,0.0,0.4239510925748111,0.4239510925748111,2021,H1,False,LY
25,0.0,0.0,0.2460158433136392,0.2460158433136392,2021,H1,False,MC
92,0.0,0.0,0.2025610496485566,0.2025610496485566,2021,H1,False,KW
175,0.0,0.0,0.1185610132740942,0.1185610132740942,2021,H1,False,LB
14,0.0,0.0,0.4999349039002413,0.4999349039002413,2021,H1,False,MG
25,0.0,0.0,0.4886381225004118,0.4886381225004118,2021,H1,False,ME
18,0.0,0.0,0.4406219863755059,0.4406219863755059,2021,H1,False,MM
48,0.0,0.0,0.1390390444823457,0.1390390444823457,2021,H1,False,MT
26,0.1343740698986447,0.0229759886245332,0.5061023862866242,0.4831263976620909,2021,H1,False,MD
325,0.012012172835794,0.0020751937576418,0.0663674466373233,0.0642922528796815,2021,H1,False,HR
21,0.0344156919521332,0.0003844585917123,0.7676070647512786,0.7672226061595663,2021,H1,False,ML
12,0.1111998609022114,0.0031374209447975,0.8325941620005942,0.8294567410557967,2021,H1,False,MQ
45,0.1372095479643189,0.0405108276641422,0.3746092094095516,0.3340983817454093,2021,H1,False,MK
53,0.0,0.0,0.134426187900959,0.134426187900959,2021,H1,False,MW
21,0.1004442741151822,0.0096480158748997,0.561367121530172,0.5517191056552723,2021,H1,False,MU
40,0.0772859304995722,0.0124512575237238,0.3575047628015544,0.3450535052778306,2021,H1,False,MN
10,0.0,0.0,0.6739014422832555,0.6739014422832555,2021,H1,False,NC
34,0.0,0.0,0.4073294681471235,0.4073294681471235,2021,H1,False,MZ
20,0.2916547223147256,0.0957325830244545,0.6155835950995354,0.5198510120750809,2021,H1,False,
104,0.0269817807568119,0.0041356694887788,0.1562340292163806,0.1520983597276017,2021,H1,False,LV
86,0.0314411564753294,0.0047160108115778,0.1819311566378325,0.1772151458262547,2021,H1,False,LK
199,0.0823049931417153,0.0379759267124389,0.1692742377253975,0.1312983110129586,2021,H1,False,KE
148,0.085544391590223,0.0375129234935656,0.1833592661955948,0.1458463427020291,2021,H1,False,LU
99,0.0490856007791524,0.0130880655495681,0.1673067162708661,0.154218650721298,2021,H1,False,KZ
1434,0.0506642551733302,0.036081251290226,0.0707089290284252,0.0346276777381991,2021,H1,False,FI
10,0.0,0.0,0.6551660594569984,0.6551660594569984,2021,H1,False,PF
40,0.0,0.0,0.3963962126997029,0.3963962126997029,2021,H1,False,PA
57,0.0,0.0,0.1297512349759204,0.1297512349759204,2021,H1,False,OM
153,0.0,0.0,0.1020859603755254,0.1020859603755254,2021,H1,False,PE
32,0.0,0.0,0.4161945609291815,0.4161945609291815,2021,H1,False,PS
198,0.0135815994470748,0.0019572368067403,0.0881474769164738,0.0861902401097335,2021,H1,False,MA
15,0.0,0.0,0.720641601232914,0.720641601232914,2021,H1,False,PY
209,0.0383705172505079,0.0115596305509541,0.119826913399524,0.1082672828485698,2021,H1,False,LT
95,0.0435175629547356,0.0054170950459923,0.2753926762762663,0.269975581230274,2021,H1,False,NP
21,0.1092005967125858,0.0248952246044738,0.3705176925493225,0.3456224679448486,2021,H1,False,RE
308,0.0943449800653699,0.0544639071039613,0.1585326085062352,0.1040687014022739,2021,H1,False,NG
27,0.0,0.0,0.4409315078864511,0.4409315078864511,2021,H1,False,RW
263,0.0522597507501005,0.0166491704868839,0.1522447704611238,0.1355955999742399,2021,H1,False,MO
709,0.033116205359936,0.0179579108490724,0.060284185489911,0.0423262746408385,2021,H1,False,HU
23,0.0932571521158382,0.0138176214357865,0.4301842001949725,0.416366578759186,2021,H1,False,SD
87,0.0388126744691688,0.0097280494636495,0.1423534849361707,0.1326254354725212,2021,H1,False,PR
180,0.059201097729998,0.020819142384648,0.1569981461696689,0.1361790037850209,2021,H1,False,PH
10,0.0,0.0,0.8392682270809094,0.8392682270809094,2021,H1,False,SL
12,0.0,0.0,0.6675643206221594,0.6675643206221594,2021,H1,False,SV
34,0.0,0.0,0.1545986548582086,0.1545986548582086,2021,H1,False,SN
30,0.0279378318891797,3.886972419517734e-06,0.9953164301347588,0.9953125431623394,2021,H1,False,TJ
27,0.0531541934525351,0.0074517994966283,0.2956584516811672,0.2882066521845389,2021,H1,False,SY
34,0.0597548870472957,0.0083360446704046,0.3245402970866715,0.3162042524162667,2021,H1,False,SS
265,0.0638321526986462,0.0290425513521022,0.1345219165340755,0.1054793651819732,2021,H1,False,QA
94,0.0,0.0,0.1365283967537204,0.1365283967537204,2021,H1,False,TZ
130,0.0,0.0,0.0842754407653315,0.0842754407653315,2021,H1,False,UG
289,0.0426513944169747,0.0171502156179309,0.1021308322844867,0.0849806166665557,2021,H1,False,SK
262,0.047490712705076,0.0208399780162596,0.1045829123287041,0.0837429343124444,2021,H1,False,RS
1194,0.0384134945055749,0.0249912010863788,0.0586112932582122,0.0336200921718333,2021,H1,False,GR
642,0.0341047281149163,0.0161235182600698,0.0706979413634325,0.0545744231033627,2021,H1,False,MY
804,0.0905961875592378,0.0619704674785046,0.130603791430087,0.0686333239515824,2021,H1,False,PK
521,0.0301164805633927,0.0145065066919507,0.0614759969470602,0.0469694902551095,2021,H1,False,RO
374,0.0309949977418321,0.0126038155022035,0.0742053557659776,0.0616015402637741,2021,H1,False,UA
305,0.0241430513153844,0.00745234401961,0.0753764084871551,0.067924064467545,2021,H1,False,SI
2365,0.0457639051159187,0.0345294176844332,0.0604248767794453,0.0258954590950121,2021,H1,False,DK
1280,0.0331189308963084,0.0196588205481776,0.0552753544651929,0.0356165339170152,2021,H1,False,IR
520,0.0261622243329921,0.012689946460538,0.0531671271015747,0.0404771806410367,2021,H1,False,TN
671,0.055916013986492,0.0325075442519318,0.094533740876909,0.0620261966249772,2021,H1,False,TH
1854,0.0409182883992136,0.0288685505185184,0.0576987626934423,0.0288302121749238,2021,H1,False,IL
15,0.0,0.0,0.6672496468215038,0.6672496468215038,2021,H1,False,XK
99,0.0,0.0,0.0560558737610668,0.0560558737610668,2021,H1,False,UY
