year,half_year,Publisher,count,alpha,ci_lower,ci_upper
2021,H1,AMER METEOROLOGICAL SOC,499,0.02619430865253658,0.01097627325096117,0.06120565230064898
2021,H1,AMER INST AERONAUTICS ASTRONAUTICS,49,0.0,0.0,0.180252581070733
2021,H1,AIP Publishing,2748,0.008144079410767485,0.004634362609931723,0.01427367507867545
2021,H1,AMER SOC NEPHROLOGY,469,0.07088006556369833,0.04219996866125145,0.1166773959176008
2021,H1,AMER SOC NEURORADIOLOGY,207,0.11249752321564356,0.06294309051825454,0.19302901642961096
2021,H1,AME PUBLISHING COMPANY,352,0.06268782374980204,0.03389558165869428,0.11307480291097342
2021,H1,AMER MATHEMATICAL SOC,253,0.10985934785553617,0.06607239933850954,0.17715987204207567
2021,H1,ADIS INT LTD,653,0.04605608785392722,0.026353854047164064,0.07928829605839177
2021,H1,BASTAS PUBL LTD - UK,24,0.0,0.0,0.24521023203663891
2021,H1,BAISHIDENG PUBLISHING GROUP INC,176,0.16019248640002634,0.0841835990243336,0.2835789727303623
2021,H1,AMER SOC CLINICAL INVESTIGATION INC,601,0.14185489113854355,0.10133304278590256,0.19506366814553994
2021,H1,BENTHAM SCIENCE PUBL LTD,85,0.052348880856548825,0.013624748776985638,0.18094431278295103
2021,H1,AMER SOC PHARMACOLOGY EXPERIMENTAL THERAPEUTICS,68,0.08724040628561802,0.033652055368312894,0.2078128021194668
2021,H1,ASSOC COMPUTING MACHINERY,639,0.012428741349768043,0.004379782456920106,0.03475336639305602
2021,H1,BRISTOL UNIV PRESS & POLICY PRESS,11,0.0,0.0,0.8102855019193673
2021,H1,"CAIRO UNIV, FAC COMPUTERS & INFORMATION",15,0.0,0.0,0.6615091218130438
2021,H1,BRITISH INST RADIOLOGY,52,0.0,0.0,0.1477303162214106
2021,H1,BRAZILIAN SOC UROL,54,0.0734941599049166,0.020703512148386137,0.2293654440853023
2021,H1,C EJ PUBLISHING GROUP,82,0.020170906194592945,0.001463968394967341,0.22423859630504206
2021,H1,BRILL,109,0.014939961184230613,0.0020993857139069917,0.09856096531065019
2021,H1,CANADIAN COMMITTEE LABOUR HISTORY,15,0.0,0.0,0.5369446173781721
2021,H1,"CAS, INST OPTICS & ELECTRONICS, ED OFF OPTO-ELECTRONIC JOURNALS",46,0.0,0.0,0.38820927487015444
2021,H1,CANADIAN OPHTHAL SOC,58,0.03680919602851052,0.005558512611104802,0.20715557461486023
2021,H1,BRITISH EDITORIAL SOC BONE & JOINT SURGERY,256,0.03891548254868894,0.014959844627787492,0.09743743575179914
2021,H1,CANADIAN SCIENCE PUBLISHING,96,0.06869844843083536,0.01580972546689421,0.25302960357674126
2021,H1,"CHINA UNIV GEOSCIENCES, WUHAN",60,0.0,0.0,0.10233919498086398
2021,H1,CHIN SOCIETY IMMUNOLOGY,55,0.09727315087699374,0.024532818993952477,0.3158544315075064
2021,H1,CHINA ELECTRIC POWER RESEARCH INST,69,0.02782285020096039,0.0003946616995806051,0.674745155727383
2021,H1,CHINA ANTI-CANCER ASSOC,107,0.0005563659622399567,0.0,0.07674760162548255
2021,H1,CHINESE JOURNAL NATURAL MEDICINES,45,0.18323248054035557,0.05478368981310576,0.4647644395306234
2021,H1,"CHINA UNIV GEOSCIENCES, BEIJING",102,0.03984139012910077,0.008372400086486886,0.16938709242811614
2021,H1,CHINESE JOURNAL CANCER RESEARCH CO,57,0.04522536650848834,0.006752207554562851,0.2481462176047016
2021,H1,CODON PUBLICATIONS,21,0.0,0.0,0.23717752041023424
2021,H1,COLEGIO OFICIAL DE PSICOLOGOS DE ASTURIAS,39,0.0,0.0,0.371066444995629
2021,H1,CLEVELAND CLINIC,42,0.118675076615748,0.022076333241569567,0.44543105900019947
2021,H1,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,11,0.0,0.0,0.7495329427054945
2021,H1,COLL FAMILY PHYSICIANS CANADA,63,0.0,0.0,0.33369434222925215
2021,H1,CROATIAN SOC MEDICAL BIOCHEMISTRY & LABORATORY MEDICINE,24,0.0,0.0,0.19823260363821507
2021,H1,CRACOW UNIV ECONOMICS,38,0.0,0.0,0.31142281943878675
2021,H1,AMER MEDICAL ASSOC,3153,0.04681998733040122,0.0366129234006488,0.05969628314779346
2021,H1,CHINESE LASER PRESS,183,0.03919943486587926,0.013009781825683318,0.11212163466674539
2021,H1,CZECH ACADEMY AGRICULTURAL SCIENCES,39,0.1224241656055012,0.02093350540731332,0.47649368458202845
2021,H1,DE GRUYTER MOUTON,30,0.0,0.0,0.358960010883032
2021,H1,CMA-CANADIAN MEDICAL ASSOC,204,0.058375107203379385,0.022911503654188953,0.14081990168875297
2021,H1,DEUTSCHER AERZTE-VERLAG GMBH,34,0.0,0.0,0.34566156838318607
2021,H1,COGITATIO PRESS,124,0.027380921723905993,0.00469221557121825,0.14391523517282648
2021,H1,CURRENT MEDICINE GROUP,103,0.20035379264585101,0.1019860730013371,0.35598809292037087
2021,H1,ECOLE POLYTECHNIQUE,17,0.0,0.0,0.5845266526119101
2021,H1,EDICIONES DOYMA S A,13,0.0,0.0,0.3099077778877994
2021,H1,EDICIONES PROFESIONALES INFORMACION SL-EPI,34,0.0,0.0,0.23455915962960283
2021,H1,EDITURA ASE,35,0.0,0.0,0.21036227604466498
