count,mean,ci_lower,ci_upper,ci_width,year,half_year,has_ai_policy
134865,0.0440580871000167,0.0423558343630395,0.0458254785483146,0.003469644185275,2022,H2,False
217778,0.14224663386995,0.1391893109642914,0.1453597715185663,0.0061704605542748,2025,H1,False
141807,0.0659997118925927,0.0639043148223097,0.0681588135018381,0.0042544986795283,2023,H2,False
171940,0.0464480548068519,0.0448553764644799,0.0480944368017969,0.003239060337317,2023,H1,False
228181,0.1308595039734517,0.1285971205524526,0.1331556071203104,0.0045584865678578,2024,H2,False
191381,0.0436124213218584,0.042189247468554,0.0450813436341287,0.0028920961655747,2022,H1,False
259488,0.0411944241643962,0.0399964718400895,0.0424266711886943,0.0024301993486048,2021,H2,False
271276,0.1004666951654597,0.0985704789682855,0.1023952455886357,0.0038247666203501,2024,H1,False
485723,0.1845630577421152,0.1821428323563221,0.1870080886028918,0.0048652562465696,2025,H1,True
330945,0.0919479017075378,0.0903624807602678,0.0935582780817516,0.0031957973214837,2023,H2,True
335587,0.0521733214557468,0.0510143439707414,0.0533571489155433,0.0023428049448019,2021,H2,True
320890,0.0532271656466708,0.0520225271254764,0.0544580964331553,0.0024355693076788,2022,H2,True
365147,0.0510123143406812,0.0499107872400104,0.0521368179945372,0.0022260307545267,2021,H1,True
352044,0.0609389878640419,0.0596856541276483,0.0622168988429221,0.0025312447152737,2023,H1,True
328073,0.0537851147158954,0.052590721169955,0.055005059370611,0.002414338200656,2022,H1,True
324202,0.1670162835708557,0.1648934275025364,0.1691609335229884,0.004267506020452,2024,H2,True
398011,0.1297118576299995,0.1280175948879112,0.1314251636966162,0.0034075688087049,2024,H1,True
377500,0.0426956499775544,0.0416814458006578,0.043733405854565,0.0020519600539071,2021,H1,False
