count,mean,ci_lower,ci_upper,ci_width,year,month
83978,0.0542328838337904,0.051929149304781,0.0566327140885222,0.0047035647837411,2022,5
68346,0.0487215990321578,0.0462258817341994,0.0513448054828545,0.005118923748655,2022,7
77175,0.0473263765201443,0.0450083493482043,0.0497575669083146,0.0047492175601102,2022,3
71059,0.0475391595324573,0.0451028415907547,0.0501001752092911,0.0049973336185364,2022,8
99977,0.045758664110804,0.0437649549226544,0.0478386528506378,0.0040736979279834,2021,6
91783,0.0478889468266566,0.0457650382840196,0.0501062480262561,0.0043412097422365,2021,8
108226,0.0459480097649504,0.0440232327018788,0.0479527203503762,0.0039294876484974,2021,4
72490,0.0490895140785996,0.0466562060094607,0.0516428543436032,0.0049866483341424,2022,4
77337,0.0522478190893532,0.0498497834823516,0.0547545649947182,0.0049047815123666,2022,9
74993,0.0486494465482858,0.0462832096527591,0.0511301720944077,0.0048469624416485,2022,2
101989,0.0483246822978411,0.0463134652733759,0.0504186214179992,0.0041051561446233,2021,7
97163,0.0484390740046837,0.0463529656997733,0.0506140844286378,0.0042611187288644,2021,11
119753,0.0457492981979639,0.0439288237508192,0.0476414563938499,0.0037126326430307,2021,2
96377,0.0464576651680672,0.0444050937309229,0.0486002888731261,0.0041951951422031,2021,9
101448,0.0462554853278733,0.0442356092379826,0.0483629255148816,0.0041273162768989,2021,12
122115,0.0457353674413862,0.0439315247397698,0.0476095882092936,0.0036780634695237,2021,3
87661,0.0553183170568923,0.0530955786570326,0.0576284428457063,0.0045328641886737,2022,6
106315,0.0472016695619195,0.0452725945905757,0.0492087061544945,0.0039361115639187,2021,10
72979,0.0686416297829706,0.0656702729302387,0.071737107952684,0.0060668350224453,2023,7
85023,0.0940714309735233,0.090914275762284,0.0973264860704352,0.0064122103081512,2023,11
75206,0.082646925237403,0.0794819938386827,0.0859261186093236,0.0064441247706408,2023,9
77180,0.0488357197441957,0.0465372328001184,0.0512416285776033,0.0047043957774848,2022,10
72444,0.0479100085964638,0.0454698268574905,0.0504742203212556,0.0050043934637651,2023,2
112919,0.0507603028499382,0.0488463526148667,0.0527450888103771,0.0038987361955103,2021,5
67294,0.168430097581844,0.1616079561683138,0.1754799518196435,0.0138719956513296,2025,6
75590,0.1510246276946729,0.1468719943887159,0.1552733025117093,0.0084013081229933,2024,9
83955,0.0537223770803635,0.0513560277138106,0.0561913030339099,0.0048352753200993,2022,11
81366,0.061046268163618,0.0585015287639079,0.0636942117884446,0.0051926830245367,2023,5
84635,0.0503949367158664,0.0481141143487853,0.0527778853376756,0.0046637709888902,2023,3
77430,0.0680941855653982,0.0652931185658348,0.0710062894728051,0.0057131709069703,2023,4
92849,0.1517785482718585,0.1479612687652808,0.1556763166540003,0.0077150478887194,2024,8
81333,0.0840756353811256,0.0810431434895376,0.0872108292089287,0.0061676857193911,2023,10
123157,0.0456394620060413,0.0437648394147031,0.0475903858694706,0.0038255464547674,2022,1
76128,0.0778529144765648,0.074836718747349,0.0809800334711353,0.0061433147237863,2023,8
97589,0.1365355937552452,0.1329801551283602,0.1401707243899212,0.007190569261561,2024,7
94145,0.1495750204052969,0.1458347172159641,0.1533940258278644,0.0075593086119002,2024,10
87145,0.0599429710693146,0.05749868298951,0.0624842779712601,0.0049855949817501,2023,6
112599,0.166670278810709,0.1618214622685415,0.1716346340879292,0.0098131718193877,2025,5
97882,0.1559253677092567,0.152237512860745,0.1596857310125385,0.0074482181517935,2024,12
106608,0.119274359484371,0.1160718362561812,0.1225529923162357,0.0064811560600545,2024,4
111635,0.1696737522206512,0.1650890009459102,0.1743592384262116,0.0092702374803013,2025,3
101818,0.1229363082867647,0.1197101914854449,0.1262368991762242,0.0065267076907793,2024,6
108673,0.1249408957968969,0.1217795576663637,0.1281723234483044,0.0063927657819406,2024,5
95614,0.11237874229045,0.1091134288573142,0.1157290792439145,0.0066156503866002,2024,2
82083,0.0948426941895344,0.0916090211801053,0.098178174810827,0.0065691536307216,2023,12
107523,0.1200070367607308,0.1169012802595242,0.1231837953723165,0.0062825151127923,2024,3
120964,0.0510352886754366,0.0489854985401015,0.0531660568320593,0.0041805582919577,2023,1
94328,0.1643160050492509,0.1604452398877267,0.1682614374526343,0.0078161975649076,2024,11
77878,0.0512295362226588,0.0488590779621857,0.0537085061021892,0.0048494281400035,2022,12
119747,0.1800616211129379,0.1754703487120257,0.1847461092357543,0.0092757605237285,2025,4
112874,0.1684999573487607,0.1639013987077442,0.1732008099219901,0.0092994112142459,2025,2
179657,0.0468112954475933,0.0452508020490941,0.048422873785462,0.0031720717363678,2021,1
179352,0.1657625190450202,0.1620243258550035,0.1695695065100054,0.0075451806550019,2025,1
149051,0.1096748902205359,0.1069586574903091,0.1124514162974324,0.0054927588071232,2024,1
