year,month,Publisher,count,alpha,ci_lower,ci_upper
2023,1,TAYLOR & FRANCIS AS,10,0.0,0.0,0.8142088176156016
2023,1,"Steklov Mathematical Inst, Russian Acad Sciences",22,0.0,0.0,0.5360605984717802
2023,1,SPRINGER LONDON LTD,61,0.05560884662508482,0.014256175631559977,0.19338086658061776
2023,1,SPRINGER-VERLAG ITALIA SRL,71,0.025129244106249782,0.0037096019630994716,0.15142974803256132
2023,1,THIEME MEDICAL PUBL INC,13,0.0,0.0,0.7412364234018117
2023,1,Tubitak Scientific & Technological Research Council Turkey,16,0.0,0.0,0.6922233420263222
2023,1,"UNIV ALICANTE, GRUPO INVESTIGACION EDUTIC-ADEI",10,0.0,0.0,0.49632759901354345
2023,1,"UNIV BELGRADE, FAC ELECTRICAL ENGINEERING",20,0.0,0.0,0.5767406103681966
2023,1,SCIENCE PRESS,289,0.062312103216319484,0.03258562754015106,0.11590769193171971
2023,1,"UNIV KRAGUJEVAC, FAC SCIENCE",47,0.0,0.0,0.4149129353593819
2023,1,TERMEDIA PUBLISHING HOUSE LTD,57,0.08266162067917257,0.024497800985049323,0.24433222808934518
2023,1,UNIV PRESOV,12,0.0,0.0,0.41974644671430666
2023,1,SPRINGER BASEL AG,253,0.0845955375274676,0.04494108765032116,0.1536119385358917
2023,1,UNIV CHICAGO PRESS,67,0.0,0.0,0.10806592215612265
2023,1,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,11,0.0,0.0,0.7458420477555768
2023,1,VEREIN FORDERUNG OPEN ACCESS PUBLIZIERENS QUANTENWISSENSCHAF,21,0.0,0.0,0.48544239383872617
2023,1,VILNIUS GEDIMINAS TECH UNIV,22,0.0,0.0,0.3602734741967532
2023,1,"UNIV AGRICULTURE, FAC VETERINARY SCIENCE",69,0.08394248295889777,0.014037625545377361,0.37097934595444626
2023,1,"UNIV SZEGED, BOLYAI INSTITUTE",59,0.1898550047513222,0.08107542840544518,0.38365076404223286
2023,1,UBIQUITY PRESS LTD,56,0.10086840282332975,0.02639889388799795,0.3170102391664003
2023,1,SPRINGER/PLENUM PUBLISHERS,193,0.05442809480719946,0.022343058871107074,0.12662049317866658
2023,1,STATE GRID ELECTRIC POWER RESEARCH INST,176,0.16116355222682838,0.08234843111168802,0.2914538049973315
2023,1,W B SAUNDERS CO LTD,77,0.062201723003748044,0.017871144211212577,0.1946977718491795
2023,1,SPRINGER INT PUBL AG,174,0.03275355127615327,0.009022144286577253,0.11186075464742787
2023,1,WALTER DE GRUYTER GMBH,181,0.0367938609273687,0.00917985275566547,0.13606662334751563
2023,1,PUBLIC LIBRARY SCIENCE,1380,0.05108452220735227,0.03612831141831468,0.07177120036553027
2023,1,W B SAUNDERS CO-ELSEVIER INC,218,0.09970567980007773,0.05253694481032306,0.181127548401163
2023,1,TAYLOR & FRANCIS INC,430,0.08998710838261527,0.05459616132419797,0.14480567056803162
2023,1,TSINGHUA UNIV PRESS,151,0.0348472430662929,0.0098357502399185,0.11600915306999585
2023,1,"WILEY PERIODICALS, INC",15,0.21304786465042047,0.025133525895717438,0.7397744761666931
2023,2,ACAD MANAGEMENT,10,0.0,0.0,0.7253683717971267
2023,2,ACAD MEDICINE SINGAPORE,10,0.07850666810793797,0.00018255581047288972,0.9754610384396922
2023,1,WILEY-HINDAWI,105,0.10884535001292538,0.049586685028989504,0.2223532186530695
2023,1,YONSEI UNIV COLL MEDICINE,86,0.141961176161505,0.06314681920380648,0.28881887781519067
2023,1,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1459,0.03733857017692014,0.021516737267460354,0.06403326153435082
2022,12,ELSEVIER SCI LTD,6580,0.03435194370659655,0.027681333153985764,0.04255966776011317
2023,1,SAGE PUBLICATIONS LTD,949,0.04254437104057805,0.026630807316333015,0.06730969583806103
2023,1,ZHEJIANG UNIV PRESS,95,0.05281781290205412,0.01419122348185242,0.17763590907552262
2022,11,ELSEVIER,11949,0.044102942470742174,0.03865403132735188,0.05027979241923005
2023,2,ACTA DERMATO-VENEREOLOGICA,17,0.4658247150810194,0.11941678231688072,0.8486607421088115
2023,2,ACOUSTICAL SOC AMER AMER INST PHYSICS,55,0.0,0.0,0.13291203827315615
2023,1,eLIFE SCIENCES PUBL LTD,154,0.10277997155805191,0.04878870058936054,0.2037233454083487
2023,1,WOLTERS KLUWER MEDKNOW PUBLICATIONS,225,0.08473703668864563,0.04545154991543748,0.15255176185949137
2023,2,AMER ACAD PEDIATRICS,24,0.0,0.0,0.32667268729119364
2023,2,AMER ACAD SLEEP MEDICINE,27,0.0,0.0,0.7913321028947798
2023,2,AME PUBLISHING COMPANY,17,0.09907905934778978,0.013902059982927713,0.46175481527405304
2023,2,AMER BOARD FAMILY MEDICINE,11,0.0610320309283312,0.0005427641203428188,0.8861018968553598
2023,2,AMER ASSOC NEUROLOGICAL SURGEONS,37,0.19161486765747712,0.06430786532388313,0.4497953229649082
2023,2,ADIS INT LTD,78,0.09192367071072102,0.031713018127451705,0.23831522912026856
2023,2,AMER ASSOC CANCER RESEARCH,118,0.1773395057776818,0.09465128131736686,0.30771271999886696
2023,1,SPRINGER HEIDELBERG,676,0.021556349241968913,0.009750900228427685,0.046976652606099685
2023,1,UNIV CALIFORNIA PRESS,275,0.005604985883091215,0.0007914073097258993,0.03856618376002582
2023,1,WORLD SCIENTIFIC PUBL CO PTE LTD,442,0.021035423520623674,0.007502802773140271,0.05756090562742333
2023,2,AMER ECONOMIC ASSOC,25,0.0,0.0,0.3725352494837948
2023,2,AMER INST AERONAUTICS ASTRONAUTICS,13,0.0,0.0,0.7452649165935289
2023,1,TAYLOR & FRANCIS LTD,927,0.07896554553066246,0.05467215978546729,0.11276594116527985
2023,2,AMER COLL PHYSICIANS,43,0.01475407561139477,7.639724889395383e-05,0.7458772505146586
2023,2,AMER DIABETES ASSOC,42,0.07373132786803467,0.01474818712529413,0.29740285981321046
2023,2,AMER ASSOC ADVANCEMENT SCIENCE,433,0.07315809494503996,0.03376496850469598,0.15131335224924064
2023,2,AMER MATHEMATICAL SOC,30,0.1282579673375492,0.03477422490161325,0.37533083927384914
2023,2,AMER METEOROLOGICAL SOC,75,0.005414616767282626,2.326338347572102e-08,0.999215702488053
2023,2,AMER PUBLIC HEALTH ASSOC INC,17,0.0,0.0,0.6582326245420953
2023,2,"AMER PSYCHIATRIC PUBLISHING, INC",20,0.0,0.0,0.35578332745304087
2023,2,AMER ROENTGEN RAY SOC,28,0.0,0.0,0.5877890259793128
2023,2,AMER PHYSIOLOGICAL SOC,103,0.13466614359635468,0.05431496408332579,0.29660369550490584
2023,1,SPRINGERNATURE,967,0.07301378977662612,0.050800651497148734,0.10387691637087035
2023,2,AMER SOC PHARMACOLOGY EXPERIMENTAL THERAPEUTICS,10,0.00975858846364529,8.246189854944119e-14,0.9999999991508948
2023,2,AMER THORACIC SOC,56,0.0,0.0,0.4772838618733095
2023,2,AMER SOC NEURORADIOLOGY,24,0.41658217009580695,0.15559196570415212,0.7345358646882132
2023,2,AMER SOC HEMATOLOGY,47,0.11469391525324027,0.030236812789023137,0.34993130363159397
2023,2,ANNALS FAMILY MEDICINE,21,0.3334172499968658,0.10275575064240079,0.6859891222544675
2023,2,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,640,0.04475515385390682,0.025618727164265297,0.0770555041902464
2023,2,ASIAN-AUSTRALASIAN ASSOC ANIMAL PRODUCTION SOC,27,0.0,0.0,0.2384056523370016
2023,2,ANNUAL REVIEWS,87,0.0,0.0,0.21654926210541137
2023,2,ATHABASCA UNIV PRESS,10,0.013164576144218525,1.8735959478355868e-11,0.9999998947186143
2023,2,AMER SOC CLINICAL INVESTIGATION INC,101,0.23498331843614034,0.1298622626317154,0.38732058680748377
