year,half_year,is_oa,count,mean,ci_lower,ci_upper
2021,H1,False,3293,10.64287883389007,10.11196029357239,11.17379737420775
2021,H1,True,21616,13.929820503330866,13.748301982540905,14.111339024120827
2021,H2,False,3392,12.556014150943396,11.987553243481743,13.124475058405048
2021,H2,True,22269,15.377026359513225,15.156470083150564,15.597582635875886
2022,H1,False,3800,9.737894736842104,9.242860371172185,10.232929102512024
2022,H1,True,22011,12.531143519149516,12.34014931068496,12.722137727614072
2022,H2,False,3341,9.89404369949117,9.362326040595336,10.425761358387005
2022,H2,True,17899,13.441533046538913,13.197786114411823,13.685279978666003
2023,H1,False,4601,7.440339056726798,7.006090897578195,7.874587215875401
2023,H1,True,16946,10.368995633187772,10.155380783696524,10.582610482679021
2023,H2,False,3039,10.627838104639684,10.026724931325656,11.228951277953712
2023,H2,True,13984,14.015517734553775,13.699770700665242,14.331264768442308
2024,H1,False,3151,13.042843541732783,12.330281819534267,13.755405263931298
2024,H1,True,15382,18.685216486802755,18.34709934592207,19.02333362768344
2024,H2,False,1231,18.186839967506092,16.68358719187517,19.690092743137015
2024,H2,True,6048,21.435019841269842,20.865150009681326,22.004889672858358
2025,H1,False,261,26.42528735632184,23.19912238473505,29.65145232790863
2025,H1,True,2314,28.179775280898877,27.17188418981858,29.187666371979173
