Year,Month,count,Delta_avg,Delta_common,Delta_rare
2023,1,121475,0.0009415635974208136,0.0005594010846192154,0.0013237261102224118
2023,2,88843,0.001202634203117503,0.0051261092136430375,-0.0027208408074080315
2023,3,100191,0.00403098724014303,0.005018109752252309,0.0030438647280337516
2023,4,92840,0.030780022825983216,0.012322603936279097,0.049237441715687336
2023,5,100165,0.017849113910641007,0.010445909900575256,0.025252317920706757
2023,6,105626,0.0045664759374225705,-0.0017528280075646552,0.010885779882409796
2023,7,92665,0.044066421203152406,0.036655279507963046,0.05147756289834177
2023,8,95029,0.0509615207547478,0.043617590197460254,0.05830545131203535
2023,9,94720,0.06323851174077252,0.060697075901682995,0.06577994757986205
2023,10,99802,0.06282004607344652,0.05622915713665355,0.06941093501023948
2023,11,104835,0.07267487198551148,0.07358880442419752,0.07176093954682544
2023,12,100994,0.09885193434017381,0.09239238536925526,0.10531148331109236
2024,1,142832,0.10939408935456713,0.10109047240127639,0.11769770630785786
2024,2,96267,0.1147959001045872,0.11472565410727015,0.11486614610190427
2024,3,105420,0.1390258055554984,0.12765252437523483,0.15039908673576197
2024,4,98685,0.12133674630796182,0.1100616199920853,0.13261187262383833
2024,5,109748,0.139856350666093,0.13177764445493045,0.14793505687725556
2024,6,94066,0.11149760784128715,0.09933495816969212,0.12366025751288218
2024,7,85637,0.15244135275898435,0.14209443183059117,0.16278827368737753
2024,8,83293,0.14577951275983994,0.1303665034293135,0.16119252209036639
2024,9,65837,0.16149024531986894,0.15633311458918064,0.16664737605055724
2024,10,75799,0.13167571828488356,0.12804066043953582,0.1353107761302313
2024,11,74172,0.15353936276260124,0.15624759109567327,0.15083113442952922
2024,12,74003,0.18796004419157822,0.18500488389498532,0.19091520448817112
2025,1,91932,0.19085341312891943,0.19541888645597155,0.1862879398018673
2025,2,63747,0.2128826020974176,0.22273896561905354,0.20302623857578167
2025,3,65665,0.21650179671264771,0.22323412404011767,0.20976946938517776
2025,4,68656,0.24330906663456103,0.23097083924448658,0.2556472940246355
2025,5,57724,0.2346570512621401,0.2389837786463646,0.23033032387791558
2025,6,58616,0.19530651985007252,0.18263712652727737,0.20797591317286768
