year,half_year,is_oa,country_list,count,mean,ci_lower,ci_upper
2021,H1,False,AE,623,0.6035313001605136,0.5645982058576893,0.6411954572524272
2021,H1,False,AF,12,0.8333333333333334,0.5519691377470266,0.9530348578161463
2021,H1,False,AG,2,0.0,0.0,0.6576197724933469
2021,H1,False,AL,38,0.7105263157894737,0.5524286232424794,0.8299672217151693
2021,H1,False,AM,49,0.4897959183673469,0.3557511031030578,0.6253243625953194
2021,H1,False,AO,4,1.0,0.5101091635454027,1.0
2021,H1,False,AR,942,0.4607218683651805,0.42911483154127017,0.49264795511827686
2021,H1,False,AS,1,0.0,0.0,0.7934506856227626
2021,H1,False,AT,3096,0.5410206718346253,0.5234276530688777,0.5585120213868062
2021,H1,False,AU,11825,0.5688794926004228,0.5599325428585984,0.5777817046161839
2021,H1,False,AW,4,0.75,0.30064184258240184,0.9544127391902995
2021,H1,False,AZ,30,0.43333333333333335,0.2737748557646652,0.6080269299918639
2021,H1,False,BA,40,0.575,0.42195068541991065,0.7149060744004962
2021,H1,False,BB,14,0.5,0.26799202452413634,0.7320079754758637
2021,H1,False,BD,358,0.5810055865921788,0.5293009397819639,0.6309902556742792
2021,H1,False,BE,4108,0.5265335929892891,0.5112476242984746,0.5417699840366784
2021,H1,False,BF,25,0.48,0.30031285954112974,0.6650148304964322
2021,H1,False,BG,247,0.43724696356275305,0.3768142587642557,0.4996017047461489
2021,H1,False,BH,25,0.72,0.5242339480963842,0.8571614614904344
2021,H1,False,BI,20,0.3,0.1454772448676043,0.5189728183535235
2021,H1,False,BJ,34,0.5588235294117647,0.3945389925620307,0.7111651775375785
2021,H1,False,BM,4,0.75,0.30064184258240184,0.9544127391902995
2021,H1,False,BN,30,0.6,0.42320360253322475,0.7540937188319815
2021,H1,False,BO,36,0.4166666666666667,0.2714056205144606,0.5779974842512834
2021,H1,False,BR,4130,0.47869249394673125,0.4634841548514288,0.4939404339352421
2021,H1,False,BS,13,0.9230769230769231,0.6668604907890041,0.9862895787574435
2021,H1,False,BT,9,0.6666666666666666,0.3542021355803963,0.879416181613089
2021,H1,False,BW,32,0.375,0.22933887309454212,0.5474559264692255
2021,H1,False,BY,100,0.38,0.29097599252478734,0.47790244704488916
2021,H1,False,BZ,1,1.0,0.20654931437723745,1.0
2021,H1,False,CA,12666,0.5461866414021791,0.5375035730868576,0.5548417024087131
2021,H1,False,CD,27,0.5925925925925926,0.4072670096806468,0.7548524292560443
2021,H1,False,CF,1,0.0,0.0,0.7934506856227626
2021,H1,False,CG,13,0.38461538461538464,0.17709707797762575,0.6447710848733431
2021,H1,False,CH,6786,0.5374300029472443,0.5255492643154629,0.5492683883618401
2021,H1,False,CI,23,0.6521739130434783,0.44890335377263,0.8118872406120227
2021,H1,False,CL,1091,0.5096241979835013,0.47997880115367125,0.5392020581669285
2021,H1,False,CM,77,0.38961038961038963,0.28842252906406524,0.5012893310632255
2021,H1,False,CN,48516,0.4868084755544563,0.48236210944153485,0.4912569304911008
2021,H1,False,CO,613,0.499184339314845,0.45973181191074924,0.5386470259807379
2021,H1,False,CR,84,0.5476190476190477,0.44143037013820663,0.6496427985842067
2021,H1,False,CU,58,0.41379310344827586,0.29628026374083305,0.5420159182914434
2021,H1,False,CV,3,0.3333333333333333,0.06149194472039621,0.7923403991979522
2021,H1,False,CW,7,0.7142857142857143,0.35893445183261935,0.9177810759959433
2021,H1,False,CY,310,0.5612903225806452,0.5056346199507555,0.6154456227386287
2021,H1,False,CZ,1655,0.4882175226586103,0.4641903642178933,0.5122992515964319
2021,H1,False,DE,17507,0.522533843605415,0.5151307492616787,0.5299270511790054
2021,H1,False,DJ,2,0.5,0.09453120573423074,0.9054687942657693
2021,H1,False,DK,3851,0.5367437029343027,0.5209658029488679,0.5524483706359978
2021,H1,False,DO,19,0.631578947368421,0.41039533164803066,0.8085048725486492
2021,H1,False,DZ,179,0.3687150837988827,0.30148810860280495,0.44145859340261284
2021,H1,False,EC,163,0.5153374233128835,0.4391498607613197,0.5908187096128673
2021,H1,False,EE,286,0.5699300699300699,0.511999209040223,0.6260072727196737
2021,H1,False,EG,1070,0.5373831775700935,0.5074275596658806,0.5670713333903226
2021,H1,False,ER,2,1.0,0.34238022750665303,1.0
2021,H1,False,ES,10651,0.5072763120833724,0.4977807948725013,0.5167665825426437
2021,H1,False,ET,168,0.5357142857142857,0.4603451940164348,0.609486615387146
2021,H1,False,FI,2801,0.5544448411281685,0.5359762223865623,0.5727643265813065
2021,H1,False,FJ,29,0.6206896551724138,0.4400254420598852,0.7731197789919015
2021,H1,False,FK,4,0.5,0.15003898915214947,0.8499610108478506
2021,H1,False,FO,8,0.25,0.071479212752109,0.5907245696898311
2021,H1,False,FR,10792,0.467939214232765,0.45853832784386933,0.47736291684932647
2021,H1,False,GA,14,0.5,0.26799202452413634,0.7320079754758637
2021,H1,False,GB,26564,0.5513100436681223,0.5453220707217211,0.5572831787196088
2021,H1,False,GD,17,0.47058823529411764,0.26165106442409436,0.6903676493999558
2021,H1,False,GE,69,0.4492753623188406,0.33768855629243716,0.5662123249731188
2021,H1,False,GF,16,0.4375,0.23098652405492354,0.6682144360118811
2021,H1,False,GH,196,0.6581632653061225,0.589289746788457,0.7209561869926255
2021,H1,False,GI,3,0.6666666666666666,0.2076596008020477,0.9385080552796037
2021,H1,False,GL,13,0.46153846153846156,0.23206067809538303,0.7085620428549398
2021,H1,False,GM,17,0.47058823529411764,0.26165106442409436,0.6903676493999558
2021,H1,False,GN,5,0.6,0.2307242812760128,0.882379225767352
