year,half_year,country_list,count,mean,ci_lower,ci_upper
2021,H1,AD,2,0.5,0.09453120573423074,0.9054687942657693
2021,H1,AE,1383,0.5849602313810557,0.5587914295014799,0.6106583648534086
2021,H1,AF,46,0.5869565217391305,0.44339497779846154,0.7171139677518723
2021,H1,AG,4,0.0,0.0,0.4898908364545973
2021,H1,AL,104,0.5961538461538461,0.500058706401711,0.6853987254497405
2021,H1,AM,134,0.4552238805970149,0.3733281693832565,0.5396152940517196
2021,H1,AO,10,0.8,0.49016247153664183,0.9433178485456247
2021,H1,AR,1858,0.46609257265877285,0.4435031596028225,0.48882190523926694
2021,H1,AS,1,0.0,0.0,0.7934506856227626
2021,H1,AT,6018,0.5576603522765038,0.5450792208342691,0.5701679182254017
2021,H1,AU,20802,0.5825882126718585,0.5758722702792475,0.5892736579352204
2021,H1,AW,6,0.6666666666666666,0.299993315138392,0.9032285888942195
2021,H1,AZ,97,0.3711340206185567,0.2816237546594088,0.4704623387751138
2021,H1,BA,154,0.6233766233766234,0.544723972153564,0.6960239294681988
2021,H1,BB,27,0.4444444444444444,0.27585858177023004,0.6268697548677552
2021,H1,BD,1204,0.617109634551495,0.5893213331558254,0.6441530172571317
2021,H1,BE,7555,0.5504963600264725,0.5392565711254244,0.5616848236844413
2021,H1,BF,118,0.5,0.41121889415183216,0.5887811058481678
2021,H1,BG,543,0.44751381215469616,0.406205339823032,0.4895596957634709
2021,H1,BH,107,0.6822429906542056,0.5890181027627126,0.7628358011369958
2021,H1,BI,36,0.4166666666666667,0.2714056205144606,0.5779974842512834
2021,H1,BJ,135,0.5703703703703704,0.4860597370222354,0.6507869956567796
2021,H1,BM,12,0.6666666666666666,0.39062208887279953,0.8618799089087867
2021,H1,BN,82,0.5365853658536586,0.4294472560322624,0.6404490397952913
2021,H1,BO,78,0.5,0.39167432239746397,0.608325677602536
2021,H1,BR,8802,0.49659168370824813,0.48615023546583336,0.507036105637333
2021,H1,BS,23,0.7391304347826086,0.5352999516257462,0.8745138395501366
2021,H1,BT,23,0.6521739130434783,0.44890335377263,0.8118872406120227
2021,H1,BW,91,0.45054945054945056,0.3523976853313362,0.5527071062660257
2021,H1,BY,199,0.36683417085427134,0.3029852889901324,0.43572690373349393
2021,H1,BZ,7,0.5714285714285714,0.2504583645276572,0.8417801447485302
2021,H1,CA,22322,0.5595376758354986,0.5530154410507718,0.56603942211766
2021,H1,CD,124,0.5161290322580645,0.4290154460449416,0.6022733082989076
2021,H1,CF,9,0.1111111111111111,0.019890887638544907,0.434999705576656
2021,H1,CG,70,0.5714285714285714,0.45477836559850204,0.6806469112000313
2021,H1,CH,12600,0.5516666666666666,0.5429685907045868,0.5603332482033284
2021,H1,CI,95,0.6947368421052632,0.5960660393008851,0.7782708072153203
2021,H1,CL,2722,0.511756061719324,0.4929745234524832,0.5305044649504919
2021,H1,CM,277,0.49458483754512633,0.43618496772275256,0.5531328487684537
2021,H1,CN,91370,0.5207179599430886,0.5174779168516604,0.5239562610219516
2021,H1,CO,1499,0.4849899933288859,0.45976063068001205,0.5102960910480988
2021,H1,CR,192,0.5989583333333334,0.5283479854036718,0.6656865169372833
2021,H1,CU,152,0.4868421052631579,0.4086917071593119,0.5656411819815536
2021,H1,CV,12,0.5833333333333334,0.31951131254954973,0.8067396863412435
2021,H1,CW,10,0.7,0.39677814746114537,0.8922087325936989
2021,H1,CY,653,0.5865237366003063,0.5483538291522848,0.6236815965695971
2021,H1,CZ,3937,0.5128270256540514,0.49720891047174326,0.5284201337451802
2021,H1,DE,35209,0.5472748444999858,0.5420707110129565,0.552468663319929
2021,H1,DJ,5,0.4,0.11762077423264783,0.769275718723987
2021,H1,DK,7074,0.5452360757704269,0.5336108309013208,0.5568122173858665
2021,H1,DM,1,0.0,0.0,0.7934506856227626
2021,H1,DO,41,0.6097560975609756,0.45726856934123794,0.7434385493987647
2021,H1,DZ,460,0.4,0.3562375288330096,0.44541883833626456
2021,H1,EC,483,0.5175983436853002,0.4730723314229609,0.5618466338623297
2021,H1,EE,603,0.5588723051409619,0.5189931564988217,0.5980061008327027
2021,H1,EG,3690,0.5271002710027101,0.5109715350860565,0.543172640355586
2021,H1,ER,6,0.5,0.18761630648265054,0.8123836935173494
2021,H1,ES,22174,0.5207450166862091,0.5141665953696876,0.5273162514487567
2021,H1,ET,1121,0.6199821587867975,0.591203713213718,0.6479410994979551
2021,H1,FI,4952,0.550686591276252,0.5367983129805416,0.5644962914113141
2021,H1,FJ,75,0.5866666666666667,0.47366515860704367,0.6912227086959367
2021,H1,FK,8,0.5,0.21521606221387757,0.7847839377861224
2021,H1,FM,1,0.0,0.0,0.7934506856227626
2021,H1,FO,20,0.25,0.11186170140766566,0.46870087761874407
2021,H1,FR,20846,0.5012952125107935,0.4945081706119953,0.5080817771392455
2021,H1,GA,52,0.38461538461538464,0.26470463780216213,0.5204012628418061
2021,H1,GB,48361,0.5645251338888774,0.560101185043472,0.5689388326998669
2021,H1,GD,29,0.4482758620689655,0.28413168023037194,0.6245203678902909
2021,H1,GE,179,0.4748603351955307,0.4030044983225842,0.5477725297210063
2021,H1,GF,40,0.5,0.35199526933465386,0.6480047306653461
2021,H1,GH,663,0.6319758672699849,0.5946039849852446,0.6678272086443277
2021,H1,GI,9,0.6666666666666666,0.3542021355803963,0.879416181613089
2021,H1,GL,42,0.5476190476190477,0.3994911903473349,0.6877660676654553
2021,H1,GM,80,0.55,0.44119507889355963,0.6542231081528878
2021,H1,GN,22,0.5909090909090909,0.38734818476315136,0.7674418380352813
