year,half_year,has_ai_policy,country_list,count,mean,ci_lower,ci_upper
2021,H1,False,AD,1,1.0,0.20654931437723745,1.0
2021,H1,False,AE,357,0.5742296918767507,0.5224156926765972,0.6244632168955323
2021,H1,False,AF,19,0.47368421052631576,0.2732980516117956,0.6829219075488682
2021,H1,False,AG,1,0.0,0.0,0.7934506856227626
2021,H1,False,AL,33,0.5757575757575758,0.4080726333731245,0.7276440336658979
2021,H1,False,AM,41,0.4146341463414634,0.27756549454252133,0.5663289686596986
2021,H1,False,AO,1,1.0,0.20654931437723745,1.0
2021,H1,False,AR,731,0.426812585499316,0.39143143023652244,0.4629589301390091
2021,H1,False,AS,1,0.0,0.0,0.7934506856227626
2021,H1,False,AT,1855,0.537466307277628,0.5147227820372747,0.56005497770141
2021,H1,False,AU,6825,0.5334798534798535,0.5216287153565152,0.5452933244588477
2021,H1,False,AW,1,1.0,0.20654931437723745,1.0
2021,H1,False,AZ,31,0.3548387096774194,0.21116659093865403,0.5305204593563113
2021,H1,False,BA,39,0.5384615384615384,0.3856944827051576,0.6843311439327215
2021,H1,False,BB,13,0.5384615384615384,0.29143795714506004,0.7679393219046169
2021,H1,False,BD,249,0.5542168674698795,0.4921207437357715,0.6146655409421198
2021,H1,False,BE,2651,0.5058468502451905,0.486820201572978,0.5248565785590343
2021,H1,False,BF,31,0.4838709677419355,0.31970251562417307,0.651596045519712
2021,H1,False,BG,211,0.45023696682464454,0.3845938861446776,0.5176596169022993
2021,H1,False,BH,21,0.7142857142857143,0.5004361928391441,0.8618613704787788
2021,H1,False,BI,21,0.2857142857142857,0.1381386295212213,0.49956380716085597
2021,H1,False,BJ,32,0.53125,0.3644951711897464,0.6913061289193116
2021,H1,False,BM,2,1.0,0.34238022750665303,1.0
2021,H1,False,BN,18,0.5555555555555556,0.33716415642042774,0.7544048187299437
2021,H1,False,BO,28,0.35714285714285715,0.2070582950773768,0.5416969348557219
2021,H1,False,BR,3020,0.4566225165562914,0.4389234618412003,0.47443178393872204
