year,half_year,is_oa,domain_list,count,mean,ci_lower,ci_upper
2024,H2,True,Life Sciences,85948,0.6600037231814585,0.656829690130784,0.6631634540902982
2024,H2,True,Physical Sciences,86693,0.6740105890902379,0.6708826755830443,0.6771230820930371
2024,H2,True,Social Sciences,32837,0.7182446630325547,0.7133537271275745,0.7230845419092351
2025,H1,False,Health Sciences,70049,0.6754129252380476,0.6719360400463368,0.6788705723370592
2025,H1,False,Life Sciences,49260,0.704303694681283,0.7002579006593562,0.7083176266231609
2025,H1,False,Physical Sciences,80339,0.6754004904218375,0.672154448934148,0.6786297589463395
2025,H1,False,Social Sciences,30469,0.7293970921264236,0.7243799360497448,0.734356411818912
2025,H1,True,Health Sciences,92033,0.742407614659959,0.7395722414000558,0.7452227525694355
2025,H1,True,Life Sciences,78045,0.7628419501569608,0.7598449698534832,0.7658130570071237
2025,H1,True,Physical Sciences,75914,0.7365176383802724,0.7333720479985432,0.7396392930770362
2025,H1,True,Social Sciences,26568,0.7810900331225534,0.7760773508713591,0.7860214416849204
