year,half_year,is_oa,domain_list,count,mean,ci_lower,ci_upper
2021,H1,False,Health Sciences,99367,0.5211388086588102,0.5180320007782689,0.5242439821793766
2021,H1,False,Life Sciences,61216,0.5388460533193936,0.5348948862181954,0.542792345350333
2021,H1,False,Physical Sciences,114523,0.4821040315045886,0.47921071454208297,0.4849985490000899
2021,H1,False,Social Sciences,53714,0.5831254421566072,0.5789501036185729,0.5872888917968628
2021,H1,True,Health Sciences,106504,0.5519229324720198,0.5489344879259516,0.5549076315697866
2021,H1,True,Life Sciences,92318,0.5811326068589008,0.5779467046496518,0.5843117573057641
2021,H1,True,Physical Sciences,87285,0.5246262244371885,0.5213122175542914,0.5279380637892649
2021,H1,True,Social Sciences,32032,0.598745004995005,0.5933657854189534,0.604100543290768
2021,H2,False,Health Sciences,95416,0.5294604678460636,0.5262923143319665,0.5326262492922061
2021,H2,False,Life Sciences,53728,0.5566743597379392,0.5524698710105763,0.5608707448078353
2021,H2,False,Physical Sciences,99843,0.5331570565788287,0.530061256288465,0.5362503055322527
2021,H2,False,Social Sciences,48406,0.6004007767632111,0.5960295111709552,0.6047561081801888
2021,H2,True,Health Sciences,102044,0.5586315706949944,0.555582804087333,0.5616759230835757
2021,H2,True,Life Sciences,87881,0.5850525141953323,0.581791289364124,0.5883063037117479
2021,H2,True,Physical Sciences,84588,0.534307466780158,0.5309444394590652,0.5376673781808827
2021,H2,True,Social Sciences,31871,0.6074801543723134,0.602106492604715,0.6128279097781439
2022,H1,False,Health Sciences,99165,0.5416830534966974,0.5385803364007912,0.5447825412772024
2022,H1,False,Life Sciences,65169,0.5673709892740414,0.5635633171542199,0.5711707193469854
2022,H1,False,Physical Sciences,118865,0.5133302486013545,0.5104884354099787,0.5161712002111679
2022,H1,False,Social Sciences,50173,0.6044087457397405,0.6001223079009015,0.6086791968450338
2022,H1,True,Health Sciences,108067,0.5636965956304885,0.5607376063152386,0.5666510566595543
2022,H1,True,Life Sciences,95459,0.5882525482144166,0.5851270280747518,0.5913709657259885
2022,H1,True,Physical Sciences,96162,0.5365321020777438,0.5333789388921827,0.5396823466268404
2022,H1,True,Social Sciences,32187,0.6192251530120856,0.613906456486399,0.6245153943315749
2022,H2,False,Health Sciences,84569,0.5289645141836843,0.525599068750399,0.5323273283706599
2022,H2,False,Life Sciences,51198,0.5547677643657956,0.5504588412091088,0.5590684695324445
2022,H2,False,Physical Sciences,100360,0.5386608210442407,0.5355752489911172,0.5417434335862523
2022,H2,False,Social Sciences,45044,0.6055412485569666,0.6010190480393655,0.610045448995226
2022,H2,True,Health Sciences,110059,0.569739866798717,0.5668123931796203,0.5726624722384552
2022,H2,True,Life Sciences,99431,0.5903591435266667,0.5872990509121203,0.5934122544650957
2022,H2,True,Physical Sciences,95767,0.5510039992899433,0.5478518113858563,0.554152095556952
2022,H2,True,Social Sciences,32177,0.6234266712247879,0.6181181253091503,0.6287057500131912
2023,H1,False,Health Sciences,106863,0.5464473204008872,0.5434608545410076,0.5494304470497222
2023,H1,False,Life Sciences,69958,0.571214157065668,0.5675430229801,0.5748774707095177
2023,H1,False,Physical Sciences,133006,0.5269837450942063,0.5242998286795212,0.5296661028731623
2023,H1,False,Social Sciences,53051,0.5984053080997531,0.5942268206935751,0.6025695453478529
2023,H1,True,Health Sciences,112970,0.5704346286624767,0.567545698418481,0.5733187689175323
2023,H1,True,Life Sciences,101527,0.5967378135865337,0.5937167391518234,0.5997515677957448
2023,H1,True,Physical Sciences,104674,0.5561266408086057,0.5531147840883638,0.5591343780671468
2023,H1,True,Social Sciences,33328,0.6274303888622179,0.6222252328925487,0.6326061724018085
2023,H2,False,Health Sciences,92726,0.5304661044367276,0.5272526565220573,0.5336770281524178
2023,H2,False,Life Sciences,57109,0.5749531597471502,0.5708938156245696,0.579002421041796
2023,H2,False,Physical Sciences,116033,0.5957701688312808,0.5929433931153724,0.5985906035066163
2023,H2,False,Social Sciences,49457,0.6197504903249287,0.6154629891664954,0.6240193902398824
2023,H2,True,Health Sciences,110305,0.6119668192738317,0.6090872325203307,0.6148386076329369
2023,H2,True,Life Sciences,92858,0.6392125611148205,0.6361180821401551,0.6422955223484537
2023,H2,True,Physical Sciences,93865,0.6225430139029458,0.6194369662909871,0.6256390316917095
2023,H2,True,Social Sciences,34770,0.6704918032786885,0.6655326527322712,0.6754132854390958
2024,H1,False,Health Sciences,111389,0.5594448284839616,0.5565273772031956,0.5623581797730632
2024,H1,False,Life Sciences,74885,0.6081324697870067,0.6046306220558861,0.6116232241049626
2024,H1,False,Physical Sciences,143420,0.596255752335797,0.5937139146168736,0.5987924338337588
2024,H1,False,Social Sciences,52952,0.6501548572291888,0.6460819730441452,0.6542059567089049
2024,H1,True,Health Sciences,112968,0.6199100630266978,0.6170754347576621,0.6227365365279018
2024,H1,True,Life Sciences,98106,0.6591238048641266,0.6561515508563462,0.6620835979906194
2024,H1,True,Physical Sciences,106755,0.6472952086553323,0.6444237264674891,0.65015609071918
2024,H1,True,Social Sciences,36024,0.6867643793026871,0.6819551641210885,0.6915337670817429
2024,H2,False,Health Sciences,77155,0.5642408139459529,0.5607388814498965,0.5677363498078268
2024,H2,False,Life Sciences,49652,0.62007572706034,0.6157973525025461,0.6243355231005893
2024,H2,False,Physical Sciences,89131,0.6394632619402901,0.6363050955293734,0.6426094074092503
2024,H2,False,Social Sciences,39797,0.6664823981707164,0.6618344391232075,0.6710982204465642
2024,H2,True,Health Sciences,102114,0.6277493781459937,0.6247796816316291,0.6307094633335126
