Journal name,URL,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
ACM Transactions on Quantum Computing,https://dl.acm.org/journal/TQC,ACM T QUANTUM COMPUT,ASSOC COMPUTING MACHINERY,2643-6809,2643-6817,"COMPUTER SCIENCE, THEORY & METHODS",ESCI,225,3.7,Q1,0.99,1.52%
ACS Agricultural Science & Technology,https://pubs.acs.org/journal/aastgj,ACS AGR SCI TECHNOL,AMER CHEMICAL SOC,,2692-1952,"AGRICULTURE, MULTIDISCIPLINARY",ESCI,582,2.4,Q1,0.56,11.42%
ACS Applied Electronic Materials,https://pubs.acs.org/journal/aaembp,ACS APPL ELECTRON MA,AMER CHEMICAL SOC,,2637-6113,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"10,036",4.4,Q1,0.9,9.17%
ACS Applied Materials & Interfaces,https://pubs.acs.org/journal/aamick,ACS APPL MATER INTER,AMER CHEMICAL SOC,1944-8244,1944-8252,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"364,873",8.5,Q1,1.41,8.66%
ACS Applied Polymer Materials,https://pubs.acs.org/journal/aapmcd,ACS APPL POLYM MATER,AMER CHEMICAL SOC,2637-6105,2637-6105,POLYMER SCIENCE,SCIE,"13,488",4.5,Q1,0.91,11.25%
ACS Catalysis,https://pubs.acs.org/journal/accacs,ACS CATAL,AMER CHEMICAL SOC,2155-5435,2155-5435,"CHEMISTRY, PHYSICAL",SCIE,"130,517",11.7,Q1,1.72,15.91%
ACS Central Science,https://pubs.acs.org/journal/acscii,ACS CENTRAL SCI,AMER CHEMICAL SOC,2374-7943,2374-7951,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"18,793",13.1,Q1,2.75,95.90%
ACS ES&T Engineering,https://pubs.acs.org/journal/aeecco,ACS EST ENG,AMER CHEMICAL SOC,,2690-0645,"ENGINEERING, ENVIRONMENTAL",ESCI,"2,993",7.5,Q1,0.72,6.72%
ACS ES&T Water,https://pubs.acs.org/journal/aewcaa,ACS EST WATER,AMER CHEMICAL SOC,,2690-0637,ENVIRONMENTAL SCIENCES,ESCI,"3,043",4.9,Q1,1.04,14.35%
ACS Energy Letters,https://pubs.acs.org/journal/aelccp,ACS ENERGY LETT,AMER CHEMICAL SOC,2380-8195,2380-8195,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"55,589",19.5,Q1,2.83,16.21%
ACS Environmental Au,https://pubs.acs.org/journal/aeacc4,ACS ENVIRON AU,AMER CHEMICAL SOC,,2694-2518,"ENGINEERING, ENVIRONMENTAL",ESCI,404,6.7,Q1,0.68,98.84%
ACS Infectious Diseases,https://pubs.acs.org/journal/aidcbc,ACS INFECT DIS,AMER CHEMICAL SOC,2373-8227,,INFECTIOUS DISEASES,SCIE,"6,250",4.1,Q1,1.07,28.29%
ACS Macro Letters,https://pubs.acs.org/journal/amlccd,ACS MACRO LETT,AMER CHEMICAL SOC,,2161-1653,POLYMER SCIENCE,SCIE,"13,663",5.2,Q1,1.34,11.03%
ACS Materials Letters,https://pubs.acs.org/journal/amlcef,ACS MATER LETT,AMER CHEMICAL SOC,,2639-4979,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"8,577",9.9,Q1,1.6,6.65%
ACS Measurement Science Au,https://pubs.acs.org/journal/amachv,ACS MEAS SCI AU,AMER CHEMICAL SOC,,2694-250X,"CHEMISTRY, ANALYTICAL",ESCI,504,4.6,Q1,0.96,97.87%
ACS Nano,https://pubs.acs.org/journal/ancac3,ACS NANO,AMER CHEMICAL SOC,1936-0851,1936-086X,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"227,835",15.8,Q1,2.42,14.91%
ACS Pharmacology & Translational Science,https://pubs.acs.org/journal/aptsfn,ACS PHARMACOL TRANSL,AMER CHEMICAL SOC,,2575-9108,"CHEMISTRY, MEDICINAL",ESCI,"2,416",5.1,Q1,1.43,23.36%
ACS Photonics,https://pubs.acs.org/journal/apchd5,ACS PHOTONICS,AMER CHEMICAL SOC,2330-4022,,OPTICS,SCIE,"22,376",6.5,Q1,1.36,26.02%
ACS Polymers Au,https://pubs.acs.org/journal/apaccd,ACS POLYM AU,AMER CHEMICAL SOC,,2694-2453,POLYMER SCIENCE,ESCI,416,4.8,Q1,1.08,94.17%
ACS Sensors,https://pubs.acs.org/journal/ascefj,ACS SENSORS,AMER CHEMICAL SOC,2379-3694,2379-3694,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"20,807",8.3,Q1,1.45,14.35%
ACS Sustainable Chemistry & Engineering,https://pubs.acs.org/journal/ascecg,ACS SUSTAIN CHEM ENG,AMER CHEMICAL SOC,2168-0485,2168-0485,"ENGINEERING, CHEMICAL",SCIE,"95,666",7.1,Q1,1.27,13.80%
ACS Synthetic Biology,https://pubs.acs.org/journal/asbcd6,ACS SYNTH BIOL,AMER CHEMICAL SOC,2161-5063,,BIOCHEMICAL RESEARCH METHODS,SCIE,"10,493",3.8,Q1,1.1,30.34%
ACTA ASTRONAUTICA,https://www.sciencedirect.com/journal/acta-astronautica,ACTA ASTRONAUT,PERGAMON-ELSEVIER SCIENCE LTD,0094-5765,1879-2030,"ENGINEERING, AEROSPACE",SCIE,"17,747",3.1,Q1,1.25,12.61%
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,https://academic.oup.com/abbs,ACTA BIOCH BIOPH SIN,SCIENCE PRESS,1672-9145,1745-7270,BIOPHYSICS,SCIE,"5,357",3.3,Q1,0.73,59.72%
ACTA DERMATO-VENEREOLOGICA,https://medicaljournalssweden.se/actadv,ACTA DERM-VENEREOL,ACTA DERMATO-VENEREOLOGICA,0001-5555,1651-2057,DERMATOLOGY,SCIE,"7,817",3.5,Q1,1.02,98.13%
ACTA MATERIALIA,https://www.sciencedirect.com/journal/acta-materialia,ACTA MATER,PERGAMON-ELSEVIER SCIENCE LTD,1359-6454,1873-2453,METALLURGY & METALLURGICAL ENGINEERING,SCIE,"113,602",8.3,Q1,1.9,20.02%
ACTA MATHEMATICA,https://link.intlpress.com/acta,ACTA MATH-DJURSHOLM,"INT PRESS BOSTON, INC",0001-5962,1871-2509,MATHEMATICS,SCIE,"5,242",4.9,Q1,3.32,96%
ACTA MATHEMATICA SCIENTIA,https://link.springer.com/journal/10473,ACTA MATH SCI,SPRINGER,0252-9602,1572-9087,MATHEMATICS,SCIE,"1,908",1.2,Q1,1.15,0.24%
ACTA MECHANICA SINICA,https://link.springer.com/journal/10409,ACTA MECH SINICA-PRC,SPRINGER HEIDELBERG,0567-7718,1614-3116,MECHANICS,SCIE,"3,793",3.8,Q1,0.82,4.64%
ACTA NEUROPATHOLOGICA,https://link.springer.com/journal/401,ACTA NEUROPATHOL,SPRINGER,0001-6322,1432-0533,NEUROSCIENCES,SCIE,"25,842",9.3,Q1,3.08,68.63%
ACTA NUMERICA,https://www.cambridge.org/core/journals/acta-numerica,ACTA NUMER,CAMBRIDGE UNIV PRESS,0962-4929,1474-0508,MATHEMATICS,SCIE,"2,887",16.3,Q1,11.71,57.89%
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,https://obgyn.onlinelibrary.wiley.com/journal/16000412,ACTA OBSTET GYN SCAN,WILEY,0001-6349,1600-0412,OBSTETRICS & GYNECOLOGY,SCIE,"10,182",3.5,Q1,1.35,72.55%
ACTA OPHTHALMOLOGICA,https://onlinelibrary.wiley.com/journal/17553768,ACTA OPHTHALMOL,WILEY,1755-375X,1755-3768,OPHTHALMOLOGY,SCIE,"11,550",3,Q1,1.1,42.48%
ACTA PAEDIATRICA,https://onlinelibrary.wiley.com/journal/16512227,ACTA PAEDIATR,WILEY,0803-5253,1651-2227,PEDIATRICS,SCIE,"14,372",2.4,Q1,1.08,50.41%
ACTA PHARMACOLOGICA SINICA,https://www.nature.com/aps/,ACTA PHARMACOL SIN,NATURE PUBL GROUP,1671-4083,1745-7254,PHARMACOLOGY & PHARMACY,SCIE,"15,931",6.9,Q1,1.43,13.48%
ACTA PHYSICO-CHIMICA SINICA,https://www.whxb.pku.edu.cn/EN/1000-6818/home.shtml,ACTA PHYS-CHIM SIN,PEKING UNIV PRESS,1000-6818,,"CHEMISTRY, PHYSICAL",SCIE,"5,906",10.8,Q1,1.12,0%
ACTA PSYCHIATRICA SCANDINAVICA,https://onlinelibrary.wiley.com/journal/16000447,ACTA PSYCHIAT SCAND,WILEY,0001-690X,1600-0447,PSYCHIATRY,SCIE,"13,899",5.3,Q1,1.22,50.18%
ADDICTION,https://janesaddictionstore.com/?srsltid=AfmBOooUjNs8jrnuv0EAz2eErVA5RyKYsiBVoooY-Q41kIuf9jEFJUyP,ADDICTION,WILEY,0965-2140,1360-0443,SUBSTANCE ABUSE,SCIE,"20,046",5.2,Q1,1.36,39.19%
ADDICTIVE BEHAVIORS,https://www.sciencedirect.com/journal/addictive-behaviors,ADDICT BEHAV,PERGAMON-ELSEVIER SCIENCE LTD,0306-4603,1873-6327,SUBSTANCE ABUSE,SCIE,"16,297",3.7,Q1,1.34,13.99%
ADMINISTRATION & SOCIETY,https://journals.sagepub.com/home/aasb,ADMIN SOC,SAGE PUBLICATIONS INC,0095-3997,1552-3039,PUBLIC ADMINISTRATION,SSCI,"2,705",3.2,Q1,1,24.72%
ADMINISTRATIVE SCIENCE QUARTERLY,https://journals.sagepub.com/home/asq,ADMIN SCI QUART,SAGE PUBLICATIONS INC,0001-8392,1930-3815,BUSINESS,SSCI,"20,946",8.3,Q1,1.98,34.72%
ADVANCED DRUG DELIVERY REVIEWS,https://www.sciencedirect.com/journal/advanced-drug-delivery-reviews,ADV DRUG DELIVER REV,ELSEVIER,0169-409X,1872-8294,PHARMACOLOGY & PHARMACY,SCIE,"47,379",15.2,Q1,2.33,19.71%
ADVANCED ENGINEERING INFORMATICS,https://www.sciencedirect.com/journal/advanced-engineering-informatics,ADV ENG INFORM,ELSEVIER SCI LTD,1474-0346,1873-5320,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"10,406",8,Q1,2.05,7.94%
ADVANCED FUNCTIONAL MATERIALS,https://onlinelibrary.wiley.com/journal/16163028,ADV FUNCT MATER,WILEY-V C H VERLAG GMBH,1616-301X,1616-3028,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"250,455",18.5,Q1,2.74,13.99%
ADVANCED MATERIALS,https://onlinelibrary.wiley.com/journal/15214095,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"392,485",27.4,Q1,4.09,18.24%
ADVANCED NONLINEAR STUDIES,https://www.degruyter.com/journal/key/ans/html?srsltid=AfmBOooaKbf7mmHP5hqpfwwChEVihPOunq7J43OkUTaQ95F8o5uXakAo,ADV NONLINEAR STUD,DE GRUYTER POLAND SP Z O O,1536-1365,2169-0375,MATHEMATICS,SCIE,996,2.1,Q1,1.26,78.13%
ADVANCED SYNTHESIS & CATALYSIS,https://onlinelibrary.wiley.com/journal/16154169,ADV SYNTH CATAL,WILEY-V C H VERLAG GMBH,1615-4150,1615-4169,"CHEMISTRY, ORGANIC",SCIE,"24,510",4.4,Q1,0.94,15.74%
ADVANCES IN ANATOMIC PATHOLOGY,https://journals.lww.com/anatomicpathology/pages/default.aspx,ADV ANAT PATHOL,LIPPINCOTT WILLIAMS & WILKINS,1072-4109,1533-4031,PATHOLOGY,SCIE,"2,213",5.1,Q1,1.05,5.36%
ADVANCES IN ATMOSPHERIC SCIENCES,https://link.springer.com/journal/376,ADV ATMOS SCI,SCIENCE PRESS,0256-1530,1861-9533,METEOROLOGY & ATMOSPHERIC SCIENCES,SCIE,"6,802",6.5,Q1,1.22,18.08%
ADVANCES IN COLLOID AND INTERFACE SCIENCE,https://www.sciencedirect.com/journal/advances-in-colloid-and-interface-science,ADV COLLOID INTERFAC,ELSEVIER,0001-8686,1873-3727,"CHEMISTRY, PHYSICAL",SCIE,"24,511",16,Q1,1.7,15.96%
ADVANCES IN COMPUTATIONAL MATHEMATICS,https://link.springer.com/journal/10444,ADV COMPUT MATH,SPRINGER,1019-7168,1572-9044,"MATHEMATICS, APPLIED",SCIE,"2,633",1.7,Q1,0.93,31.82%
ADVANCES IN ENGINEERING SOFTWARE,https://www.sciencedirect.com/journal/advances-in-engineering-software,ADV ENG SOFTW,ELSEVIER SCI LTD,0965-9978,1873-5339,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"11,211",4,Q1,1.17,10.67%
ADVANCES IN HEALTH SCIENCES EDUCATION,https://link.springer.com/journal/10459,ADV HEALTH SCI EDUC,SPRINGER,1382-4996,1573-1677,"EDUCATION, SCIENTIFIC DISCIPLINES",SCIE,"4,121",3,Q1,1.39,45.06%
ADVANCES IN MATHEMATICS,https://www.sciencedirect.com/journal/advances-in-mathematics,ADV MATH,ACADEMIC PRESS INC ELSEVIER SCIENCE,0001-8708,1090-2082,MATHEMATICS,SCIE,"13,596",1.5,Q1,1.35,15.94%
ADVANCES IN PHYSICS,https://www.tandfonline.com/journals/tadp20,ADV PHYS,TAYLOR & FRANCIS LTD,0001-8732,1460-6976,"PHYSICS, CONDENSED MATTER",SCIE,"5,882",35,Q1,2.08,0%
ADVANCES IN SPACE RESEARCH,https://www.sciencedirect.com/journal/advances-in-space-research,ADV SPACE RES,ELSEVIER SCI LTD,0273-1177,1879-1948,"ENGINEERING, AEROSPACE",SCIE,"17,780",2.8,Q1,0.76,12.26%
ADVANCES IN WATER RESOURCES,https://www.sciencedirect.com/journal/advances-in-water-resources,ADV WATER RESOUR,ELSEVIER SCI LTD,0309-1708,1872-9657,WATER RESOURCES,SCIE,"14,321",4,Q1,1.15,24.60%
AERA Open,https://journals.sagepub.com/home/ERO,AERA OPEN,SAGE PUBLICATIONS INC,,2332-8584,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"2,078",3.5,Q1,1.81,95.70%
AFRICA,https://au.int/,AFRICA,CAMBRIDGE UNIV PRESS,0001-9720,1750-0184,AREA STUDIES,SSCI,"1,400",1.2,Q1,0.86,42.59%
AFRICAN AFFAIRS,https://academic.oup.com/afraf,AFR AFFAIRS,OXFORD UNIV PRESS,0001-9909,1468-2621,AREA STUDIES,SSCI,"1,890",1.9,Q1,1.99,37.66%
